designation, HD, parallax, parallax_error, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, logg_gspphot, mh_gspphot, distance_gspphot, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp
"Gaia DR3 1014058103758571520",\N,68.00099930164292,0.42232543,4.8404894,3.120973,3.4182682,2.91068,7498.3286,3.9261,-1.7544,14.7754,2.283549474413565,0.013486269607764001,2.073256474413566,0.0534558342834317,0.5075882
"Gaia DR3 4692263148249862016","7788A",42.99118967176437,1.0581142,10.409619,4.8297544,5.0660872,4.465804,6435571,4.0209,-0.5633,22.0095,2.996651716389146,0.0534558342834317,2.632701316389146,0.003831329028703312,0.6002832
"Gaia DR3 1068982214258617216",\N,48.740394987611786,0.07627328,0.859881,4.679625,4.9398856,4.282234,6235699,4077,-0.3019,20.5509,3.119070221724564,0.0033981148151180918,2.721679221724565,0.0033981148151180918,0.6576516
"Gaia DR3 1328866562170960512","146361",44.05746961395318,0.045887534,1.2206292,5.4312882,5.7519083,4.946602,5625.2656,4.0933,-0.7597,22.6491,3.6513859518342375,0.002261672105230428,3.166699751834239,0.001984945643460634,0.8053063
"Gaia DR3 5593584059914156800","64379A",54.563099523190026,0.06649618,0.95217216,4.940166,5.172527,4.573806,6421102,4.1547,-0.8309,18.3141,3.624661164875512,0.002646379933632481,3.258301164875512,0.013486269607764001,0.598721
"Gaia DR3 2498460442625153536","16765A",44.86942385484068,0.041015185,0.97861886,5.639261,5.8888855,5.2238035,6208489,4.2607,-0.2559,22.2889,3.899013465085706,0.001984945643460634,3.4835559650857073,0.002964221215853158,0.665082
"Gaia DR3 2043885295914531072","176051A",67.14120107780762,0.11846329,2.727981,5.1740646,5.388042,4.6085796,5844264,4.2475,-2.0133,14.8872,4.309010130017114,0.003831329028703312,3.7435251300171153,0.0027911853356217264,0.7794624
"Gaia DR3 834571523536798848","90508A",43.49441787080643,0.038626797,0.93805134,6.277527,6.5874543,5.7958035,5701.18,4.3133,-0.7814,22.9529,4.469694613110256,0.0019284554228042872,3.987971113110257,0.002261672105230428,0.7916508
"Gaia DR3 423075173680043904","123A",48.10266404554371,0.039829273,1.7541829,6.221867,6.380405,5.585264,5617.5693,4.3236,-0.8889,20.7815,4.632712646759009,0.001797991626699691,3.9961096467590096,0.002180588136322381,0.795141
"Gaia DR3 1328866562170960384","146362",44.13402082423081,0.0178749,1.0779307,6.4382195,6.743037,5.96131,5750398,4.3923,-0.4592,22.6469,4.662086977959856,0.0008794769561060178,4.185177477959854,0.002646379933632481,0.781727
"Gaia DR3 1389522117550542464","139341B",44.33282045204357,0.060517557,2.2711954,7.2032456,7.2971764,6.2476664,5170584,4.4711,0.6688,22.5227,5.436872409868421,0.002964221215853158,4.48129320986842,0.0014263654961106376,1.04951
"Gaia DR3 4692276170589724288","7693A",47.43583184213541,0.060973432,3.220369,7.494878,7.600165,6.357864,4966.4697,4.5314,0.3981,20.9401,5.8754106041957765,0.0027911853356217264,4.738396604195776,0.0009268037701524179,1.242301
"Gaia DR3 1237090738916392704","131156A",148.06949945238355,0.13173045,1.0991775,4.4804826,4.8695474,3.9444358,5386.0786,4.4925,-0.0427,6.7505,5.332810641299066,0.0019318570954429681,4.796763841299066,0.0019318570954429681,0.9251116
"Gaia DR3 225709641034907264","25893A",47.32501011279658,0.022569712,0.9347098,7.0351396,7.438931,6.4489446,5182301,4.4642,-0.1654,21.1153,5.410593177197271,0.0010355942977615662,4.824398177197271,0.0019284554228042872,0.9899864
"Gaia DR3 4468557611984384512","165341A",195.5673545594233,0.19638827,3.2666097,3.987364,4.409446,3.4057531,5204636,4481,-0.1421,5.1193,5.4438458054798415,0.002180588136322381,4.862234905479842,0.001797991626699691,1.0036929
"Gaia DR3 2411855072801159040","219834B",44.5697976084601,0.029276362,1.1987034,7.356538,7.8014865,6.74601,5094.8164,4.4764,-0.1478,22.4207,5.601741309792726,0.0014263654961106376,4.991213309792726,0.0013173222143589847,1.0554765
"Gaia DR3 3837746380705638656","81997B",55.26762521593975,0.024892151,1.104567,6.9486914,7.383951,6.344556,5021763,4.4818,-0.1696,18.0901,5.661045419329101,0.0009780160184869047,5.056910019329102,0.0017363634535767503,1.039395
"Gaia DR3 4692263904164105856","7788B",47.650011055007226,0.020337448,1.1753818,7.3319693,7.768304,6.713414,4992.5405,4.4926,-0.1055,20.9856,5.722284328662711,0.0009268037701524179,5.103729028662711,0.0013958431582716813,1.05489
"Gaia DR3 4911306239828325632","10360",122.108812649359,0.036529314,1.2739952,5.5083017,5.9569917,4.886207,5044.24,4.5958,0.05,8.1748,5.9420367415456985,0.000649604218850186,5.319942041545699,0.0011214515839252925,1.0707847
"Gaia DR3 4467355154275146112","148653A",51.80796167805189,0.017478893,0.9444088,7.414201,7.81933,6.7489576,5004562,4.5229,-0.6786,19.2707,5.9861835291456655,0.0007326081572998078,5.320940129145666,0.0011216428702507386,1.0703724
"Gaia DR3 4109030160308317312","155885",168.13027793748972,0.10807573,0.66811454,4.828591,5.282556,4.2228065,4997.0127,4.5379,-0.3685,5.9498,5.956820654558416,0.0013958431582716813,5.351036154558417,0.0012778303977993843,1.0597495
"Gaia DR3 4109030160308320128","155886",168.00307885629599,0.13433942,0.6913257,4.831335,5.2874,4.2290955,4991236,4.5376,-0.3459,5.9538,5.957921203809303,0.0017363634535767503,5.355681703809303,0.0013012704776560469,1.0583045
"Gaia DR3 4911306239828325760","10361",122.00347235303983,0.03193793,1.2156,5.6254873,6.089998,4.9957995,4902265,4.5288,-0.3803,8198,6.057348256746864,0.0005684455864956028,5.427660456746865,0.0010850504423669527,1.0941985
"Gaia DR3 2964001014514075520","38392",112.46606502613807,0.02246881,1.0054624,5.868166,6.3657584,5.208363,4794.6724,4.5283,-0.1581,8.8919,6.1232735013426565,0.0004338233193044161,5.463470501342656,0.0010568023663330983,1.1573954
"Gaia DR3 240259375324767744","19071",45.08447157538908,0.027017191,1.0488924,7.845316,8.325102,7.201596,4844.5757,4.5405,-0.1758,22.1679,6.1154509188810815,0.0013012704776560469,5.471730918881081,0.0010838811523621317,1.123506
"Gaia DR3 4467355158571184256","148653B",51.79085053099461,0.018888528,1.0688821,7.5834684,8.008382,6.9297514,4965.8535,4.6229,-0.0391,19.2572,6.1547336162098185,0.0007919529956810223,5.50101661620982,0.0011098550980683797,1.0786306
"Gaia DR3 5143341362661301632","14001A",43.481417176015185,0.026377968,1.0941306,8.106536,8.589049,7.3971095,4740.9375,4.5479,-0.1883,22.9682,6.2980544523349975,0.0013173222143589847,5.588627952334996,0.0010355942977615662,1.1919395
"Gaia DR3 5080543413172761088","23588A",48.493092183549834,0.02853637,1.7434316,7.948594,8.416718,7.1902423,4609627,4.4559,-1.1157,20.5872,6.376993389894587,0.0012778303977993843,5.618641689894587,0.0009780160184869047,1.2264757
"Gaia DR3 2035020964491479552","186858A",47.67111290338257,0.016216096,0.9387173,8.02304,8.53719,7.3316402,4665525,4.5419,-0.2626,20976,6.414316454218403,0.000738661303830046,5.722916654218404,0.0010259292558330024,1.2055498
"Gaia DR3 3996306127913903232","95174A",46.965499968331514,0.022189219,0.9651222,8.1241865,8.670705,7.4251046,4681.7505,4.5607,-0.1296,21.2796,6.483081249761552,0.0010259292558330024,5.783999349761551,0.0009230211674355893,1.2456004
"Gaia DR3 1451450048399808384","120476A",74.09367050330306,0.037023433,1.4109154,7.203598,7.772411,6.4687204,4524.2183,4.5388,-0.1348,13.4464,6.552503548473084,0.0010850504423669527,5.817625948473085,0.0007919529956810223,1.3036906
"Gaia DR3 2035021028896869888","186858B",47.61000095060265,0.01645905,0.96063393,8.15548,8.689554,7.440344,4658.0493,4.6194,0.1884,20.9426,6.543970950729148,0.0007506904783038948,5.828834950729147,0.0009097395937893715,1.24921
"Gaia DR3 873931909508892800","63991",45.81994800091776,0.019196292,1.007186,8.247789,8.806549,7.5397444,4591.5986,4.5671,-0.0523,21.8226,6.553061959957935,0.0009097395937893715,5.845017359957936,0.0008416496454124456,1.2668046
"Gaia DR3 2700084315081609344","207491",44.3083441343281,0.02264631,1.0363628,8.325427,8.876139,7.6224546,4602438,4563,-153,22.5629,6.557854600670199,0.0011098550980683797,5.854882200670199,0.0008794769561060178,1.2536844
"Gaia DR3 60186343087140096",\N,46.760142685293424,0.023340123,0.9655377,8.245732,8.843672,7.5092006,4579.2236,4.5706,0.0941,21.3556,6.5951111385547705,0.0010838811523621317,5.85857973855477,0.000738661303830046,1.3344714
"Gaia DR3 2035035258143206016","225732",47.737949047382585,0.018502941,0.9404777,8.223257,8.783411,7.5134387,4565.4785,4.5652,-0.1315,20922,6.617575782974758,0.0008416496454124456,5.907757482974758,0.0008004944485957566,1.2699723
"Gaia DR3 1068982214258617856",\N,48.63356320236432,0.025120966,1.2245616,8.302411,8.820843,7.503895,4408.2466,4.5407,-0.0603,20.5761,6.737091449468924,0.0011216428702507386,5.9385754494689245,0.0007506904783038948,1.316948
"Gaia DR3 4610267648427698816",\N,44.10871283656803,0.014426127,1.0238867,8.514702,9.172328,7.7388325,4354.2,4.5392,0.1463,22.6802,6.737323922746933,0.0007101984133992545,5.961454422746932,0.0006936809805484501,1.4334955
"Gaia DR3 2807687883095124992",\N,43.61362628522221,0.022524148,1.0758655,8.603375,9.262847,7.8259115,4367.2637,4.5653,0.2452,22.9538,6.801485989453802,0.0011214515839252925,6.024022489453802,0.000649604218850186,1.4369355
"Gaia DR3 1875076004382831616",\N,47.92257888430325,0.023322742,1.1335062,8.493871,9.138937,7.7157483,4395.6416,4.5916,307,20.8388,6.896571904699093,0.0010568023663330983,6.118449204699092,0.0007326081572998078,1.4231887
"Gaia DR3 3996306127914172928","95174B",46.98985869140512,0.019973835,0.9593516,8.592157,9.245403,7.817886,4380.0493,4.5984,0.2504,21264,6.9521776950407785,0.0009230211674355893,6.177906695040778,0.0007101984133992545,1.427517
"Gaia DR3 5970189332424492160","152705",63.726103624238334,0.020357424,0.92365205,8.07022,8.737367,7.2849135,4334.8286,4.6294,0.1964,15.6681,7.0918068271221,0.0006936809805484501,6.306500327122099,0.0005684455864956028,1.4524535
"Gaia DR3 1237090738916392832","131156B",148.17931678941665,0.054625016,1.5099552,6.4300914,7.133002,5.615121,4244478,4.6362,0.1444,6.7397,7.284029340244161,0.0008004944485957566,6.469058940244161,0.0004338233193044161,1.517881
