"HIP","designation","HD"
98811,"Gaia DR3 6427708902553822592","14412"
7635,"Gaia DR3 409824168780424832","27274"
76316,"Gaia DR3 1209281375431039104","105452"
91557,"Gaia DR3 4155146598548456064","81997"
52621,"Gaia DR3 3554395813252625920","4747"
3856,"Gaia DR3 4902689745157488128","134083"
13716,"Gaia DR3 459661938487951360","51866"
105679,"Gaia DR3 6575581564623343872","108954"
115125,"Gaia DR3 2411855072801159040","219834B"
18465,"Gaia DR3 252151693092703872","207491"
107376,"Gaia DR3 1973094614149871872","149192"
